iter	Passed	Remaining
482	615	659
483	616	657
484	617	655
485	618	653
486	619	652
487	619	650
488	620	648
489	621	646
490	622	645
491	623	644
492	625	643
493	626	641
494	627	639
495	627	638
496	628	636
497	629	634
498	630	633
499	631	631
500	633	630
501	633	628
502	634	626
503	635	625
504	636	623
505	637	622
506	638	621
507	640	620
508	641	619
509	642	617
510	643	616
511	644	614
512	645	612
513	646	611
514	647	609
515	648	608
516	649	606
517	650	604
518	651	603
519	652	602
520	653	600
521	654	599
522	655	597
523	657	597
524	658	596
525	659	594
526	660	592
527	661	591
528	661	589
529	662	587
530	663	586
531	664	584
532	665	582
533	666	581
534	667	580
535	670	580
536	671	579
537	672	577
538	673	575
539	674	574
540	675	572
541	676	571
542	676	569
543	677	568
544	678	566
545	679	564
546	680	563
547	681	562
548	683	561
549	684	560
550	686	559
551	687	557
552	688	556
553	688	554
554	689	553
555	690	551
556	691	549
557	692	548
558	692	546
559	693	545
560	694	543
561	695	542
562	697	541
563	698	539
564	698	538
565	699	536
566	700	535
567	702	534
568	704	533
569	704	531
570	705	530
571	706	528
572	707	527
573	708	525
574	709	524
575	710	523
576	712	522
577	713	521
578	715	520
579	716	518
580	717	517
581	718	516
582	719	514
583	720	513
584	721	511
585	722	510
586	723	508
587	725	508
588	726	506
589	729	506
590	730	505
591	732	505
592	733	503
593	734	502
594	735	500
595	737	500
596	740	500
597	742	499
598	744	498
599	744	496
600	745	495
601	746	493
602	747	491
603	747	490
604	748	488
605	749	487
606	750	485
607	751	484
608	751	482
609	752	481
610	753	479
611	754	478
612	755	476
613	756	475
614	757	474
615	758	472
616	759	471
617	760	470
618	761	468
619	762	467
620	762	465
621	763	464
622	764	462
623	765	461
624	766	459
625	767	458
626	767	456
627	769	455
628	770	454
629	771	453
630	772	451
631	773	450
632	773	448
633	774	447
634	775	445
635	776	444
636	776	442
637	777	441
638	778	439
639	779	438
640	779	436
641	780	435
642	781	433
643	782	432
644	784	431
645	785	430
646	786	429
647	787	427
648	788	426
649	788	424
650	789	423
651	790	421
652	791	420
653	792	419
654	792	417
655	793	416
656	794	414
657	795	413
658	796	412
659	797	410
660	798	409
661	799	408
662	800	406
663	801	405
664	802	404
665	803	403
666	804	401
667	805	400
668	806	398
669	806	397
670	807	396
671	808	394
672	809	393
673	810	391
674	810	390
675	811	388
676	812	387
677	814	386
678	815	385
679	816	384
680	816	382
681	817	381
682	818	379
683	819	378
684	820	377
685	820	375
686	821	374
687	822	372
688	823	371
689	824	370
690	824	368
691	825	367
692	826	366
693	827	364
694	828	363
695	829	362
696	830	361
697	831	359
698	832	358
699	833	357
700	833	355
701	834	354
702	835	353
703	836	351
704	837	350
705	838	349
706	841	348
707	843	347
708	845	346
709	847	346
710	848	344
711	852	344
712	853	343
713	854	342
714	854	340
715	858	340
716	860	339
717	861	338
718	862	337
719	863	335
720	863	334
721	864	332
722	865	331
723	866	330
724	866	328
725	867	327
726	868	326
727	869	324
728	869	323
729	871	322
730	872	321
731	873	319
732	874	318
733	875	317
734	876	316
735	877	314
736	878	313
737	879	312
738	879	310
739	880	309
740	881	308
741	882	306
742	883	305
743	883	304
744	884	302
745	885	301
746	886	300
747	887	299
748	888	297
749	889	296
750	890	295
751	891	293
752	892	292
753	892	291
754	893	289
755	894	288
756	895	287
757	895	286
758	896	284
759	897	283
760	898	282
761	898	280
762	899	279
763	901	278
764	902	277
765	903	276
766	904	274
767	905	273
768	906	272
769	906	270
770	907	269
771	908	268
772	909	266
773	911	266
774	912	264
775	913	263
776	914	262
777	915	261
778	916	259
779	917	258
780	918	257
781	919	256
782	920	255
783	921	253
784	921	252
785	922	251
786	923	249
787	924	248
788	925	247
789	926	246
790	927	244
791	927	243
792	928	242
793	929	241
794	930	239
795	932	238
796	933	237
797	933	236
798	934	235
799	935	233
800	936	232
801	936	231
802	937	230
803	938	228
804	939	227
805	939	226
806	940	224
807	941	223
808	942	222
809	943	221
810	943	219
811	946	219
812	947	217
813	948	216
814	948	215
815	949	214
816	950	212
817	951	211
818	952	210
819	953	209
820	953	207
821	954	206
822	955	205
823	956	204
824	957	203
825	957	201
826	958	200
827	959	199
828	960	198
829	962	197
830	963	195
831	964	194
832	965	193
833	966	192
834	966	191
835	967	189
836	968	188
837	970	187
838	971	186
839	972	185
840	973	184
841	974	182
842	975	181
843	977	180
844	978	179
845	979	178
846	980	177
847	981	175
848	981	174
849	982	173
850	983	172
851	984	171
852	985	169
853	986	168
854	987	167
855	988	166
856	990	165
857	992	164
858	993	163
859	994	161
860	995	160
861	996	159
862	997	158
863	999	157
864	1000	156
865	1000	154
866	1001	153
867	1002	152
868	1004	151
869	1008	150
870	1009	149
871	1010	148
872	1010	147
873	1011	145
874	1012	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1017	138
880	1018	137
881	1019	136
882	1021	135
883	1023	134
884	1024	133
885	1025	131
886	1027	130
887	1029	129
888	1031	128
889	1034	127
890	1036	126
891	1038	125
892	1039	124
893	1040	123
894	1042	122
895	1043	121
896	1044	119
897	1046	118
898	1051	118
899	1053	117
900	1054	115
901	1055	114
902	1057	113
903	1058	112
904	1063	111
905	1065	110
906	1066	109
907	1068	108
908	1069	107
909	1071	105
910	1072	104
911	1073	103
912	1074	102
913	1075	101
914	1076	100
915	1080	99
916	1081	97
917	1082	96
918	1084	95
919	1086	94
920	1087	93
921	1089	92
922	1089	90
923	1090	89
924	1094	88
925	1096	87
926	1097	86
927	1098	85
928	1099	84
929	1100	82
930	1100	81
931	1101	80
932	1102	79
933	1103	77
934	1104	76
935	1105	75
936	1106	74
937	1108	73
938	1109	72
939	1110	70
940	1111	69
941	1112	68
942	1113	67
943	1114	66
944	1115	64
945	1116	63
946	1117	62
947	1120	61
948	1121	60
949	1125	59
950	1126	58
951	1128	56
952	1129	55
953	1130	54
954	1131	53
955	1132	52
956	1133	50
957	1134	49
958	1136	48
959	1138	47
960	1139	46
961	1140	45
962	1141	43
963	1142	42
964	1143	41
965	1144	40
966	1144	39
967	1145	37
968	1146	36
969	1147	35
970	1148	34
971	1149	33
972	1151	31
973	1152	30
974	1153	29
975	1154	28
976	1156	27
977	1157	26
978	1158	24
979	1159	23
980	1160	22
981	1160	21
982	1161	20
983	1162	18
984	1163	17
985	1164	16
986	1165	15
987	1167	14
988	1168	12
989	1168	11
990	1169	10
991	1170	9
992	1171	8
993	1172	7
994	1172	5
995	1173	4
996	1174	3
997	1175	2
998	1176	1
999	1177	0
